shot,             standoff, magnification, aperture radius, aperture spacing, rotation, filtering,             yield,   offset (r), offset (θ), offset (ф), flow (r), flow (θ), flow (ф)
synth-disk-big-5e+04,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-1e+05,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-2e+05,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-5e+05,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-1e+06,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-2e+06,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-5e+06,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-1e+07,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-2e+07,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-5e+07,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-big-1e+08,     2, 4.21, 15.00, 1900,   0, 0, 16Ta
synth-disk-multi-2e+03, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-5e+03, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-1e+04, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-2e+04, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-5e+04, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-1e+05, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-2e+05, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-5e+05, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-1e+06, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-2e+06, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-5e+06, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-1e+07, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-2e+07, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-5e+07, 2, 4.21, 15.00,  100, 600, 0, 16Ta
synth-disk-multi-1e+08, 2, 4.21, 15.00,  100, 600, 0, 16Ta
